id,title,has_not_been_viewed_much,date_start,date_end,medium_display,is_public_domain,has_multimedia_resources,has_educational_resources,has_advanced_imaging,colorfulness,is_on_view,artwork_type_title,department_title,artist_title
11434,Salome with the Head of Saint John the Baptist,False,1635.0,1645.0,Oil on canvas,True,True,False,False,25.7281,False,Painting,Painting and Sculpture of Europe,Guido Reni
14572,The Millinery Shop,False,1874.0,1886.0,Oil on canvas,True,True,False,False,38.9301,False,Painting,Painting and Sculpture of Europe,Hilaire Germain Edgar Degas
11723,Woman at Her Toilette,False,1870.0,1880.0,Oil on canvas,True,True,False,False,16.6011,False,Painting,Painting and Sculpture of Europe,Berthe Morisot
16554,The Artist's House at Argenteuil,False,1873.0,1873.0,Oil on canvas,True,True,False,False,25.0588,False,Painting,Painting and Sculpture of Europe,Claude Monet
21934,Kitchen Scene,False,1618.0,1622.0,Oil on canvas,True,True,False,False,13.2756,False,Painting,Painting and Sculpture of Europe,Diego Velázquez
16564,Branch of the Seine near Giverny (Mist),False,1897.0,1897.0,Oil on canvas,True,True,False,False,17.5344,False,Painting,Painting and Sculpture of Europe,Claude Monet
22749,Ghana,True,1960.0,1960.0,Gelatin silver print,False,False,False,False,5.1209,False,Photograph,Photography and Media,Marc Riboud
22736,Ghana,True,1960.0,1960.0,Gelatin silver print,False,False,False,False,5.0376,False,Photograph,Photography and Media,Marc Riboud
27024,Virgin of the Annunciation,False,1275.0,1300.0,Oak,True,False,False,False,37.2068,False,Sculpture,Painting and Sculpture of Europe,Picardie School
26715,Seated Nude,False,1858.0,1860.0,Red chalk on buff laid paper,True,False,False,False,48.4188,False,Drawing and Watercolor,Prints and Drawings,Édouard Manet
62323,Magnetic Mountain,False,1948.0,1948.0,Oil on canvas,False,False,False,False,0.0,False,Painting,Modern Art,Kurt Seligmann
41236,Dobeckmun Metallic Stripe (Curtain Fabric),True,1948.0,1948.0,"Wool, cotton, rayon, silk, metal foil laminated in cellulose acetate film, and metallic strip, twill weave",False,False,False,False,32.1483,False,Textile,Textiles,Dorothy Liebes
70036,It Was Yellow and Pink III,False,1960.0,1960.0,Oil on canvas,False,False,False,False,0.0,False,Painting,Arts of the Americas,Georgia O'Keeffe
66159,The Glass,False,1911.0,1912.0,Oil on canvas,False,False,False,False,22.4496,False,Painting,Modern Art,Pablo Picasso
